timestamp_utc,frame_idx,severity,points_inside,inference_ms,cpu_percent,process_rss_mb,system_ram_percent
2026-02-08T23:07:39.915657+00:00,0,bajo,0,352.478,18.5,384.19,57.7
2026-02-08T23:07:41.006679+00:00,30,bajo,0,326.009,28.6,540.39,58.3
2026-02-08T23:07:42.979810+00:00,60,bajo,0,296.376,16.7,540.93,58.3
2026-02-08T23:07:44.986889+00:00,90,bajo,0,302.862,15.4,541.61,58.3
2026-02-08T23:07:46.968957+00:00,120,bajo,0,294.434,16.9,540.48,58.3
2026-02-08T23:07:48.998732+00:00,150,bajo,0,315.613,19.5,540.7,58.3
2026-02-08T23:07:51.017169+00:00,180,bajo,0,338.028,19.0,540.71,58.4
2026-02-08T23:07:53.023146+00:00,210,bajo,0,336.645,22.3,540.72,58.4
2026-02-08T23:07:54.999931+00:00,240,bajo,0,318.4,30.1,541.43,58.7
2026-02-08T23:07:57.035267+00:00,270,bajo,0,349.497,22.0,541.43,58.8
2026-02-08T23:07:58.980131+00:00,300,bajo,0,288.047,18.4,541.76,58.8
2026-02-08T23:08:00.971930+00:00,330,bajo,0,297.975,18.8,541.77,58.8
2026-02-08T23:08:02.975493+00:00,360,bajo,0,287.245,18.2,541.77,58.8
2026-02-08T23:08:04.935696+00:00,390,bajo,0,259.365,13.4,542.09,58.9
2026-02-08T23:08:06.946114+00:00,420,bajo,0,259.167,13.8,542.81,58.9
2026-02-08T23:08:08.939720+00:00,450,bajo,0,256.247,19.7,542.83,58.9
2026-02-08T23:12:31.918502+00:00,0,bajo,0,352.0,15.3,388.75,58.8
2026-02-08T23:12:32.987687+00:00,30,bajo,0,300.045,26.4,545.34,59.2
2026-02-08T23:12:34.974124+00:00,60,bajo,0,286.569,11.8,545.36,59.3
2026-02-08T23:12:36.985400+00:00,90,bajo,0,293.057,14.3,545.55,59.3
2026-02-08T23:12:38.932983+00:00,120,bajo,0,254.067,11.6,545.91,59.3
2026-02-08T23:12:40.987004+00:00,150,bajo,0,292.425,15.7,546.69,59.3
2026-02-08T23:12:42.982352+00:00,180,bajo,0,294.949,14.9,546.71,59.2
2026-02-08T23:12:44.988042+00:00,210,bajo,0,297.848,14.2,546.74,59.3
2026-02-08T23:12:46.989412+00:00,240,bajo,0,297.184,14.1,546.75,59.3
2026-02-08T23:12:48.940002+00:00,270,bajo,0,253.468,14.7,546.92,59.3
2026-02-08T23:12:50.979601+00:00,300,bajo,0,294.016,13.8,547.54,59.3
